ebm,chroma 0 mean,chroma 0 std,chroma 1 mean,chroma 1 std,chroma 2 mean,chroma 2 std,chroma 3 mean,chroma 3 std,chroma 4 mean,chroma 4 std,chroma 5 mean,chroma 5 std,chroma 6 mean,chroma 6 std,chroma 7 mean,chroma 7 std,chroma 8 mean,chroma 8 std,chroma 9 mean,chroma 9 std,chroma 10 mean,chroma 10 std,chroma 11 mean,chroma 11 std,mfccs 0 mean,mfccs 0 std,mfccs 1 mean,mfccs 1 std,mfccs 2 mean,mfccs 2 std,mfccs 3 mean,mfccs 3 std,mfccs 4 mean,mfccs 4 std,mfccs 5 mean,mfccs 5 std,mfccs 6 mean,mfccs 6 std,mfccs 7 mean,mfccs 7 std,mfccs 8 mean,mfccs 8 std,mfccs 9 mean,mfccs 9 std,mfccs 10 mean,mfccs 10 std,mfccs 11 mean,mfccs 11 std,mfccs 12 mean,mfccs 12 std,cent mean,cent std,cent skew,rolloff mean,rolloff std,rolloff skew,contrast 0 mean,contrast 0 std,contrast 1 mean,contrast 1 std,contrast 2 mean,contrast 2 std,contrast 3 mean,contrast 3 std,contrast 4 mean,contrast 4 std,contrast 5 mean,contrast 5 std,contrast 6 mean,contrast 6 std,zrate mean,zrate std,zrate skew,tempo
0.018647843,0.237165658,0.311571263,0.262674598,0.270418411,0.280477912,0.243274854,0.249678906,0.275616741,0.355141894,0.281172921,0.227823309,0.201409949,0.088351863,0.116529085,0.08678144,0.070503029,0.112644178,0.112384578,0.1385568,0.136769741,0.112649919,0.088077144,0.077417416,0.084810989,-259.0385,36.216328,41.185516,34.854816,-8.279042,31.52614,-11.882678,-3.7295702,-33.804604,-0.2703133,3.201302,-4.0242124,11.689318,44.797325,25.811556,18.011951,12.412063,8.223109,11.036051,8.558707,13.195495,14.474523,6.949701,7.275986,5.1867986,8.393541,4255.048128,1471.100793,0.273044458,6923.323568,873.2919488,0.24764069,19.28283602,19.55746476,23.93607015,17.73213122,17.66263919,20.17177857,40.34703922,4.087098487,6.311012894,7.901692499,4.776220205,2.803807083,2.558806499,3.530198827,0.207668728,0.134395449,0.987183931,143.5546875
0.015626546,0.2556854,0.24453987,0.229298876,0.29038771,0.224487554,0.178725369,0.231223287,0.290921583,0.356086664,0.329849263,0.271525201,0.209848815,0.110062994,0.112297732,0.095716191,0.092906351,0.086980467,0.127152083,0.141147717,0.101103996,0.114646247,0.12928221,0.153122438,0.12010255,-260.1563,33.868683,38.290283,36.786453,-14.203985,30.758074,-11.808077,-0.9601714,-34.91802,3.0037515,0.8794542,-6.1950684,13.862283,51.86443,17.51949,11.452849,8.980413,11.785984,11.260762,7.6979694,11.315336,15.764383,8.53764,9.041681,5.4235334,7.8737955,4170.72034,1272.526771,0.473656098,6931.149292,776.1137781,0.830614219,18.61825766,21.17849207,23.55669471,17.69527642,17.72975666,20.22509278,41.9503828,3.817977278,7.060193387,8.089884334,4.941267456,3.812551094,3.438358691,3.776750142,0.201687283,0.125252924,0.599950297,198.7680288
0.067452172,0.407693734,0.29750972,0.200381931,0.204094628,0.212211585,0.137747828,0.135712983,0.167000164,0.288455624,0.368085298,0.366281107,0.342475326,0.068333565,0.115109404,0.109340122,0.083797968,0.069751672,0.060919185,0.063346552,0.068049854,0.092098807,0.09761775,0.069593855,0.077682589,-245.76381,70.01515,-4.3085933,21.921156,-3.7188425,17.533224,-5.2066655,4.623049,-22.171755,4.490727,-2.6463902,-0.077101864,9.677137,29.606026,16.073978,13.143689,10.389343,7.801443,6.710295,7.508879,11.02641,10.202916,6.2795024,6.7739563,5.5744915,7.234468,3355.121366,1357.094834,1.160890765,6277.078247,1314.15749,-0.131115297,19.44220118,22.18910712,22.485363,17.39148611,16.30152303,18.42036852,39.17040865,4.496442725,6.511140709,6.301210443,3.595417226,2.551805466,2.720953068,2.616148318,0.10023555,0.045115935,0.436175972,143.5546875
0.020091231,0.384305917,0.383811609,0.297844025,0.179559996,0.131898716,0.126815255,0.1397847,0.213703384,0.354963836,0.367742166,0.274360101,0.216801209,0.09822513,0.117068801,0.105802415,0.083513156,0.060444023,0.072161274,0.082550794,0.091451691,0.112289544,0.109631775,0.088332309,0.062091098,-280.65054,39.89776,32.036892,33.131668,-3.5168,26.781973,-12.089869,2.5055742,-28.246786,5.6137276,1.1895505,-0.4056179,12.141252,54.073727,19.356241,15.661603,11.307219,7.8479085,10.700777,8.598296,9.422396,14.612746,5.865358,5.609134,7.0670342,7.2085524,4046.26612,1341.185027,0.714578523,6894.562785,896.0550781,0.141676275,21.01125465,19.96872065,23.09205391,16.89698991,17.90943578,19.33462586,41.49086903,4.406427391,6.508880651,7.724935664,4.0488093,3.589369271,2.71697179,4.253049168,0.148412634,0.092245178,0.982027675,129.1992188
0.051005774,0.178837871,0.139079546,0.109328762,0.116959208,0.184534562,0.117000746,0.119127038,0.35541762,0.565903266,0.426417974,0.289177895,0.26171474,0.116551549,0.090425502,0.073577714,0.082152407,0.06413753,0.091175895,0.120180533,0.06533993,0.043956928,0.059573781,0.066785155,0.074730986,-275.55255,86.67882,32.30401,36.27439,5.131308,25.564905,1.411635,13.215981,-19.303885,6.137329,7.61266,1.874003,18.773739,43.744335,15.235292,13.10287,9.366914,8.186079,8.660094,8.956681,6.876553,13.449507,7.400178,5.487995,5.568895,7.8764973,2670.944827,1267.911493,1.519576009,5662.38505,1365.3155,-0.28641495,19.43138168,21.38047685,25.29372342,17.59691721,16.64799657,19.19771815,37.67018979,3.807648622,7.912322528,6.224887146,4.370398672,2.979487843,3.665222378,3.460135074,0.051882143,0.034216434,1.813206368,129.1992188
0.050245408,0.338810442,0.358167214,0.278874416,0.188186817,0.116969773,0.132111547,0.198172744,0.263666444,0.309599343,0.303094298,0.28213027,0.250969859,0.132563847,0.116899588,0.118587663,0.11773058,0.066838952,0.083437456,0.157480356,0.184381572,0.133932043,0.074208581,0.092956845,0.109707137,-277.25458,48.824738,26.859241,44.012043,-13.563839,26.95784,-13.825568,-4.5994205,-25.343557,-6.81564,1.7422916,-1.4186006,15.851277,50.92524,21.576847,12.874601,12.674958,9.783061,8.666873,7.9639187,8.825048,11.945906,8.95868,5.326618,6.7295628,7.795636,3668.221781,1169.069256,0.789150852,6434.240723,885.9503898,-0.303256102,20.37176375,20.95863897,24.405312,16.95176551,17.72408178,17.99914085,39.00277909,4.490782319,7.483307239,7.47621409,4.190689882,3.133319021,2.426346059,3.170400613,0.126397027,0.077898799,1.333462135,103.359375
0.020587329,0.254034168,0.269177276,0.267741115,0.30648381,0.220762071,0.108205329,0.183022181,0.304314713,0.382961791,0.300375512,0.209245395,0.148589525,0.130745206,0.142957763,0.144981858,0.143189745,0.114676166,0.11006664,0.135732817,0.120884113,0.148075703,0.174807777,0.104747167,0.085346487,-260.07486,53.06685,28.829027,38.981552,-7.3916497,24.62581,-10.1283865,-9.267602,-31.927092,-1.9947296,0.36108756,1.2068677,13.965808,43.58463,27.784874,15.118792,11.737988,12.094984,9.610299,11.22147,7.8487306,11.167193,6.2529902,6.816904,10.478632,7.623724,3477.740673,1306.690922,0.811837309,6350.600179,1101.801868,-0.261399717,21.30256188,20.77548045,24.83938266,18.48067987,17.50137943,18.33629519,39.52982401,4.304451016,7.738928769,6.877391515,4.941705391,3.601599365,2.383977458,3.653954683,0.12560357,0.09823212,1.476055345,80.74951172
0.080351714,0.481353227,0.313121344,0.192459796,0.212268581,0.235674755,0.238045547,0.209116984,0.139407875,0.231735353,0.246528864,0.174406302,0.192079725,0.121881448,0.126523188,0.124524018,0.104439424,0.111897971,0.198021161,0.135048052,0.098933125,0.181363545,0.185415105,0.135317908,0.091509336,-271.3606,58.284832,28.210527,38.734604,-8.23178,26.551771,-10.390293,-0.94349974,-30.320671,-4.5733314,6.340702,1.7365165,21.62964,41.28541,27.616096,19.431908,11.921876,8.916334,8.603855,5.921022,7.6315365,11.256992,7.9315495,4.796365,6.681114,6.865331,3380.20768,1307.835314,0.784079531,6342.226156,1148.51439,-0.129441165,22.58927649,21.11691878,26.94836715,20.09843414,19.57132336,20.01041021,39.14761996,4.616954184,6.418685406,8.121620774,5.534769149,5.162800336,3.124802509,3.308535895,0.102846499,0.072629882,1.830015078,103.359375
0.074376974,0.239259502,0.161296803,0.079756397,0.113236117,0.169000636,0.129918224,0.110000001,0.367822885,0.506354033,0.370332322,0.329344296,0.29388239,0.070442374,0.110715195,0.082337637,0.057068107,0.066964704,0.123301378,0.141899345,0.066494602,0.152567877,0.080455225,0.088335722,0.08539462,-259.09927,74.00772,27.16807,30.884802,3.3691869,28.109324,0.63207865,14.024346,-14.34861,7.3658137,8.204549,2.7170355,21.00464,33.401585,23.514875,17.484877,8.679811,7.8917704,8.8536625,10.491477,8.25784,9.305038,7.139698,5.076142,4.966176,8.110148,3248.392194,1579.870133,0.892881341,6136.364746,1433.291844,-0.16938548,19.39372971,18.21213486,24.27969345,16.66618092,15.84999835,18.68628714,38.45532061,3.83782776,5.076911398,5.809312782,3.823707658,2.69929384,2.718198982,3.438987607,0.080475984,0.058322103,1.907422062,99.38401442
0.065519351,0.405287585,0.331023266,0.227222198,0.1653294,0.163100694,0.150571265,0.114555527,0.157525667,0.27826324,0.334298777,0.361997741,0.369081063,0.05710913,0.074941245,0.083270616,0.106921241,0.13596401,0.103320574,0.057671771,0.084290577,0.103847148,0.127539384,0.075365175,0.06304899,-256.03244,40.616543,36.333855,37.458138,-15.216897,26.71465,-12.31991,-0.30645925,-30.89387,-0.7617393,2.2804906,-2.1211855,17.82179,38.379745,25.902166,17.66529,9.02527,13.038917,10.694142,7.334803,7.3456297,9.610368,8.3466015,5.386879,5.8014083,6.9449377,4054.177963,1247.624437,0.683399161,6861.61499,859.2432592,1.178829392,17.91242233,19.99615118,25.20616188,17.79905294,18.03065105,19.35964029,41.75434983,3.549906124,7.024588031,7.305048726,4.363395343,3.305963419,2.256154646,3.700057023,0.198527018,0.133662686,0.987648545,123.046875
