,Name of File,Actual,Predicted,Correct?,Avg. Distance,3 Nearest Neighbors
0,S23_U02CH3RecordedFromReplay0,0,0,True,4.031995909547325,"ZoomLecture21144509202086, JOERA-22, ZoomLecture211445092020101, "
1,S23_U02CH3RecordedFromReplay1,0,1,False,4.141268781298678,"JOERA-84, JOERA-60, JOERA-61, "
2,S23_U02CH3RecordedFromReplay10,0,0,True,3.9415488189763415,"New9MinuteSession23105, friends16bit-176, New9MinuteSession2357, "
3,S23_U02CH3RecordedFromReplay100,0,0,True,4.0545800432713675,"ZoomLecture21144509202027, New9MinuteSession2322, friends16bit-57, "
4,S23_U02CH3RecordedFromReplay101,0,0,True,3.9848951988098023,"New9MinuteSession2360, New9MinuteSession2359, New9MinuteSession2311, "
5,S23_U02CH3RecordedFromReplay102,0,0,True,3.9666708191594195,"New9MinuteSession2360, ZoomLecture21144509202065, ZoomLecture21144509202038, "
6,S23_U02CH3RecordedFromReplay103,0,0,True,3.9646886001689494,"New9MinuteSession2361, friends16bit-97, New9MinuteSession2368, "
7,S23_U02CH3RecordedFromReplay104,0,0,True,3.96792620537096,"New9MinuteSession23105, New9MinuteSession2356, New9MinuteSession2349, "
8,S23_U02CH3RecordedFromReplay105,0,0,True,3.9137360284156117,"New9MinuteSession2360, New9MinuteSession2399, New9MinuteSession23100, "
9,S23_U02CH3RecordedFromReplay106,0,0,True,4.012347818398618,"New9MinuteSession2310, New9MinuteSession23102, New9MinuteSession2399, "
10,S23_U02CH3RecordedFromReplay107,0,0,True,3.859273007410557,"New9MinuteSession23101, New9MinuteSession2331, New9MinuteSession2335, "
11,S23_U02CH3RecordedFromReplay108,0,0,True,3.6108349606595236,"New9MinuteSession23101, New9MinuteSession2338, New9MinuteSession2350, "
12,S23_U02CH3RecordedFromReplay109,0,0,True,3.9498766959855245,"New9MinuteSession2322, New9MinuteSession2367, New9MinuteSession2320, "
13,S23_U02CH3RecordedFromReplay11,0,1,False,3.9412777875794607,"JOERA-24, ZoomLecture21144509202049, JOERA-107, "
14,S23_U02CH3RecordedFromReplay110,0,0,True,3.8709497085369744,"ZoomLecture21144509202082, ZoomLecture21144509202027, ZoomLecture21144509202055, "
15,S23_U02CH3RecordedFromReplay111,0,0,True,3.6693346393955015,"New9MinuteSession2369, New9MinuteSession2357, New9MinuteSession234, "
16,S23_U02CH3RecordedFromReplay112,0,0,True,4.040181367214383,"New9MinuteSession2370, New9MinuteSession2385, ZoomLecture2114450920206, "
17,S23_U02CH3RecordedFromReplay113,0,1,False,3.997881531744888,"friends16bit-57, friends16bit-59, ZoomLecture21144509202034, "
18,S23_U02CH3RecordedFromReplay114,0,0,True,4.001391337698255,"ZoomLecture21144509202025, ZoomLecture21144509202016, New9MinuteSession2327, "
19,S23_U02CH3RecordedFromReplay115,0,0,True,4.114247629942152,"New9MinuteSession23101, New9MinuteSession2338, friends16bit-97, "
20,S23_U02CH3RecordedFromReplay116,0,0,True,3.972233513769472,"New9MinuteSession2360, New9MinuteSession2380, ZoomLecture2114450920206, "
