Features,Factor A,Factor B,Factor C,Factor D,Factor E,Communalities
ebm,-0.002691152296634446,-0.025937504235140532,-0.05072512466444895,0.030185044292293142,0.00780848851761954,0.004225144090712996
chroma 0 mean,-0.13691452371885598,-0.08022355267320054,0.19842459001429597,0.05612574417188306,0.7904280982818962,0.692480400843395
chroma 0 std,-0.029367352486559774,0.03563583405845224,-0.3144237315988815,0.045647220218850024,0.7581615732002613,0.6778872768448804
chroma 1 mean,-0.007290625702714401,0.0659896605176785,-0.6735487516701134,0.021492846776788217,0.4115778268274249,0.6279339593932999
chroma 1 std,-0.01387226336763746,0.016142401438878476,-0.8496993895057077,-0.023673779200884246,0.0974494411485405,0.7324989107433424
chroma 2 mean,-0.024538505669209756,-0.02139835532563956,-0.8077574570058613,-0.019941314690842937,-0.26910331831245243,0.7263463891780684
chroma 2 std,-0.0047321644652569385,-0.07009666148514787,-0.5311550814140034,0.03343986464677517,-0.6280806627714162,0.6826651993387822
chroma 3 mean,0.033408965306649885,-0.061556745783086564,-0.02209548782479467,0.1145780848552973,-0.7829576118702801,0.6315443620112
chroma 3 std,-0.09315818011438534,-0.017766733742073312,0.4308750833087165,0.15637161154933976,-0.6655688442318433,0.6620814080770285
chroma 4 mean,-0.1707889802045841,-0.02208851662461792,0.699758497004,0.16971775901188038,-0.3432703573178751,0.6659573883924512
chroma 4 std,-0.22261981939510908,-0.03770894463650022,0.7910663382987825,0.1263879768097635,-0.007635036930412922,0.6927997145535474
chroma 5 mean,-0.3494614170764358,-0.03791788260146148,0.7122725901344552,0.08239810099584118,0.30266102082273455,0.729286431076075
chroma 5 std,-0.33441125711481057,-0.03725753509923202,0.5405870360881484,0.07311397536866596,0.5917390427641915,0.7609541045190391
chroma 6 mean,0.6556830822578967,0.02751663675539681,0.12874748319721707,0.011673667942022901,0.1645130661804187,0.47445420755446543
chroma 6 std,0.6721427819357111,0.07729020285166768,-0.07279532467953609,-0.07915102216891608,0.1966979880261866,0.508003836864262
chroma 7 mean,0.5882047738350487,0.11377055484439091,-0.21028340528864883,-0.09303728075733943,0.20514889515859175,0.4538897104472423
chroma 7 std,0.5456647164771602,0.09106160528821132,-0.2791573465278439,-0.11716504609709345,0.16741377735921528,0.4257260437628473
chroma 8 mean,0.5657633935178575,0.06608185678123972,-0.26231773039501216,-0.09794502194320066,0.08416938789961662,0.4099433341029389
chroma 8 std,0.6037119760033397,0.11967876190403849,-0.21320163530340894,-0.044218042631156834,-0.06564978751278498,0.43051122321139296
chroma 9 mean,0.6480074200988996,0.13723365320823774,-0.2121778634485391,-0.0046957541464148775,-0.2257876157107584,0.53476823532905
chroma 9 std,0.6729110502458807,0.13185231543543444,-0.18143571282519258,0.026526035833229194,-0.23188805402595083,0.5575889326940533
chroma 10 mean,0.6588784421438225,0.08026567816224892,-0.05202177021062898,0.05086849563443639,-0.2490182213433832,0.5078673235976966
chroma 10 std,0.6577926429000083,0.015653751454958887,0.11861095240101864,0.00903371507960061,-0.17246841081301445,0.4768317197539742
chroma 11 mean,0.6672764965144212,-0.030828273821940193,0.1297607312764392,-0.0016915313841422309,-0.10761751345909588,0.4746305431303394
chroma 11 std,0.6514579266528395,-0.018815430409884117,0.16767995021876128,0.014328040646964467,-0.015893242238761696,0.45332590422333285
mfccs 0 mean,0.720128148187172,-0.09583731557485019,-0.3550753129012878,0.3533723498693832,0.010807382776334577,0.7788366358747104
mfccs 0 std,0.03307868569108942,-0.144150391632834,-0.08653681313828804,-0.6940462969875152,0.18018927000326768,0.5435305902694729
mfccs 1 mean,0.5352143150966644,-0.4783126307495477,0.3354136374054498,0.20968016499196462,0.10943783022066814,0.6836820542509646
mfccs 1 std,0.33373851076273003,-0.4447568276785506,0.22216697272610195,-0.0342993969695819,0.23277788257250254,0.4139101843505081
mfccs 2 mean,-0.6813140010300343,0.08724880197098944,0.330273346199793,-0.2632218113489314,-0.11858712126877884,0.6642302319555633
mfccs 2 std,-0.6790358346800976,0.0368828155214317,0.2205454741626557,-0.002392957923211513,0.1610584332359969,0.5370358581981719
mfccs 3 mean,-0.4055352192825629,-0.09252645717647248,0.16793722683796386,-0.14298944970500063,-0.10017982898869504,0.2317048523773548
mfccs 3 std,-0.5037352306840346,0.278539842996075,0.11049800912321917,0.051393386845981465,-0.2633286104551292,0.4155266740845005
mfccs 4 mean,-0.6614386766643433,0.36258613420039454,0.19038849657813112,-0.35745606718931033,0.209307265316155,0.7768019786157214
