,Feature,K,p
0,chroma 0 mean,1.37201679406221,0.24173551772590887
1,chroma 0 std,1.4941756943050275,0.2218482656204175
2,chroma 1 mean,5.541786872150242,0.018753910585103204
3,chroma 1 std,95.81971367678806,1.0649496413495896e-21
4,chroma 2 mean,203.11437438382663,3.2811444955786387e-42
5,chroma 2 std,127.44977764415559,5.928734872376243e-28
6,chroma 3 mean,0.02197756212087771,0.8821757097229905
7,chroma 3 std,44.486059764883684,4.1650774386744515e-11
8,chroma 4 mean,34.30446069515218,6.32704417286108e-09
9,chroma 4 std,33.65397700855155,8.745161005177959e-09
10,chroma 5 mean,231.05432000362376,3.0101746847142127e-47
11,chroma 5 std,287.15239436269195,4.999876360488573e-57
12,chroma 6 mean,144.38809206280095,3.1517038870508494e-31
13,chroma 6 std,63.11170546495248,5.075266621819117e-15
14,chroma 7 mean,78.65458456913592,3.186823547310122e-18
15,chroma 7 std,129.68808485536982,2.174529870003893e-28
16,chroma 8 mean,114.61039772133576,1.9460598679699734e-25
17,chroma 8 std,133.104516624834,4.7229510628601615e-29
18,chroma 9 mean,75.91284357284343,1.1595700742591434e-17
19,chroma 9 std,76.04132878853025,1.0913738006882358e-17
20,chroma 10 mean,103.93697477291099,2.5361701403622478e-23
21,chroma 10 std,124.80535206648977,1.9442452753901988e-27
22,chroma 11 mean,98.23693190047692,3.4883980807306658e-22
23,chroma 11 std,110.49805254837966,1.2632825077838468e-24
24,mfccs 0 mean,377.342074607432,6.715947780609195e-72
25,mfccs 0 std,169.08061509651563,6.499678585454665e-36
26,mfccs 1 mean,1130.930546286381,4.147470944911386e-168
27,mfccs 1 std,263.1959029087155,6.645782549678069e-53
28,mfccs 2 mean,821.8756370963358,1.7309032127603519e-133
29,mfccs 2 std,1243.0448519127108,1.8692964077079255e-179
30,mfccs 3 mean,1329.0768458673608,8.675327609503814e-188
31,mfccs 3 std,1469.5449877019057,9.203295618593423e-201
32,mfccs 4 mean,73.67976633926897,3.32948382126084e-17
33,mfccs 4 std,1131.0164682739014,4.0631653789774724e-168
34,mfccs 5 mean,1395.9594231283734,4.6457125933380763e-194
35,mfccs 5 std,161.94094202396735,1.43648397860666e-34
36,mfccs 6 mean,0.029630897370844997,0.8633640787486792
37,mfccs 6 std,102.04365422815357,6.048165154642968e-23
38,mfccs 7 mean,196.52170989626077,5.268614398964936e-41
39,mfccs 7 std,13.207729551058625,0.00029251127630968153
40,mfccs 8 mean,350.4977128637568,1.4147489559983367e-67
41,mfccs 8 std,626.467552093335,1.7929027280207046e-108
42,mfccs 9 mean,153.09763278666873,6.826164616268974e-33
43,mfccs 9 std,2.6115320295958755,0.10639427046287032
44,mfccs 10 mean,69.13033841715537,2.877683516788907e-16
45,mfccs 10 std,205.74831751639235,1.0868668946747092e-42
46,mfccs 11 mean,109.26233677352587,2.2193306427029976e-24
47,mfccs 11 std,2.9876798919499827,0.08419882108832993
48,mfccs 12 mean,121.64349338118502,8.074627327914457e-27
49,mfccs 12 std,205.23587596204774,1.3472562138562162e-42
50,cent mean,52.646201782475096,7.827007760334415e-13
51,cent std,744.6948553651615,6.133744091379902e-124
52,cent skew,101.91473012702427,6.417275564486329e-23
53,flat mean,1357.1995639547195,1.905373779327617e-190
54,flat std,1209.062279943643,4.4726317481443574e-176
55,flat skew,1398.7767761309042,2.550890625431537e-194
56,rolloff mean,91.36838559674383,8.374446264229753e-21
57,rolloff std,1090.6166534949846,6.950891028793742e-164
58,rolloff skew,146.58133339844164,1.1973107480702532e-31
59,contrast 0 mean,0.07569458759776414,0.7832740228796179
60,contrast 0 std,133.42125807801332,4.100497259589882e-29
61,contrast 1 mean,130.14188925274195,1.7748415306634274e-28
62,contrast 1 std,183.06776320872075,1.5957977145363707e-38
63,contrast 2 mean,54.81568763748861,2.739883358577949e-13
64,contrast 2 std,137.4411015485913,6.845733828302911e-30
65,contrast 3 mean,1578.3650439018702,2.5370249692237637e-210
66,contrast 3 std,19.59770275655903,1.0573403314976545e-05
67,contrast 4 mean,314.6508257369617,1.1436907455734967e-61
68,contrast 4 std,216.7242302955184,1.1163862242895447e-44
69,contrast 5 mean,208.78554744894396,3.048996664190675e-43
70,contrast 5 std,170.33782549045176,3.775882586675717e-36
71,contrast 6 mean,37.4072352655096,1.3576121139268438e-09
72,contrast 6 std,216.01097131645665,1.5013463118600131e-44
73,zrate mean,321.9167845875234,7.048907006713549e-63
74,zrate std,214.57720766502524,2.7248893278862553e-44
75,zrate skew,250.66109117838664,1.0259841907463087e-50
76,tempo,1.8879011431526396,0.16973660763856227
77,band_chroma 0 mean,20.213993939981595,7.706705736403794e-06
78,band_chroma 0 std,30.69145012857821,3.836910456416348e-08
79,band_chroma 1 mean,49.86347488854568,3.020886832692468e-12
80,band_chroma 1 std,187.59759277440415,2.3141959076009618e-39
81,band_chroma 2 mean,234.71669888994185,6.710407965834658e-48
82,band_chroma 2 std,123.14988529817377,4.0953219832172964e-27
83,band_chroma 3 mean,1.2550404501537094,0.2628520949883768
84,band_chroma 3 std,27.429728198368714,1.973236925781023e-07
85,band_chroma 4 mean,11.331059070816659,0.0007902558106809587
86,band_chroma 4 std,0.7221582402471176,0.3956335952007072
87,band_chroma 5 mean,243.22069360131033,2.0920279751157754e-49
