,id,chroma 0 mean,chroma 0 std,chroma 1 mean,chroma 1 std,chroma 2 mean,chroma 2 std,chroma 3 mean,chroma 3 std,chroma 4 mean,chroma 4 std,chroma 5 mean,chroma 5 std,chroma 6 mean,chroma 6 std,chroma 7 mean,chroma 7 std,chroma 8 mean,chroma 8 std,chroma 9 mean,chroma 9 std,chroma 10 mean,chroma 10 std,chroma 11 mean,chroma 11 std,mfccs 0 mean,mfccs 0 std,mfccs 1 mean,mfccs 1 std,mfccs 2 mean,mfccs 2 std,mfccs 3 mean,mfccs 3 std,mfccs 4 mean,mfccs 4 std,mfccs 5 mean,mfccs 5 std,mfccs 6 mean,mfccs 6 std,mfccs 7 mean,mfccs 7 std,mfccs 8 mean,mfccs 8 std,mfccs 9 mean,mfccs 9 std,mfccs 10 mean,mfccs 10 std,mfccs 11 mean,mfccs 11 std,mfccs 12 mean,mfccs 12 std,cent mean,cent std,cent skew,flat mean,flat std,flat skew,rolloff mean,rolloff std,rolloff skew,contrast 0 mean,contrast 0 std,contrast 1 mean,contrast 1 std,contrast 2 mean,contrast 2 std,contrast 3 mean,contrast 3 std,contrast 4 mean,contrast 4 std,contrast 5 mean,contrast 5 std,contrast 6 mean,contrast 6 std,zrate mean,zrate std,zrate skew,tempo,target
0,shopElecD,0.21121679251607864,0.24218517588090938,0.2978754432128614,0.380819110754758,0.3179626249887203,0.3084697016903654,0.25157983900156566,0.2924188613734328,0.2798297204211887,0.2405260911135034,0.273802857820536,0.2491901664368593,0.03988576761162092,0.02582996736740607,0.04237364714975653,0.06895152417337248,0.11731583272975596,0.05903080947937455,0.02167854544391564,0.04474250966254687,0.043468853909729925,0.06742185623590645,0.07335684753070051,0.06603600413158596,-963.85785,105.947296,35.61579,-14.859301,-3.7036896,-26.447292,4.0437407,12.655284,-18.290977,-6.6361384,-9.4077425,-23.336098,-32.790226,21.746319,18.60051,19.849745,33.959427,17.89829,27.703081,12.32515,16.780968,14.651712,6.8599253,15.099105,6.7149734,11.95444,2424.090931977352,867.5947194205266,2.126213814643776,0.019295914098620415,0.043896228075027466,4.886444091796875,5889.3310546875,2723.5302796703672,-0.6338966882947409,37.985222439961014,13.276451132882148,16.987179241361257,22.381155536642662,27.690810996038294,18.891560522497,30.22110927478442,6.988127206588017,3.954774584469965,4.584440584179257,6.14196341117389,14.428967372987048,4.4270186470234165,2.46203095279625,0.1213623046875,0.07015059444794641,0.8639145117464917,80.74951171875,0
0,musicbox,0.26875128622215455,0.37428589310842275,0.2417350952441762,0.30794083752921997,0.38734622655063,0.29223279192162926,0.22402912873974187,0.1827346577822231,0.20147875821101066,0.1484309539122944,0.05448761496079986,0.03605977660949434,0.11330958474467755,0.1754512322916077,0.08692895845308056,0.1743289252757257,0.19841094371799226,0.1187941006826013,0.17218173564134442,0.11339487415688178,0.19013702328236648,0.14406174512197056,0.0717277649471483,0.09435356707046351,-386.71036,187.24774,69.17535,22.05491,-6.3145995,-14.994878,-12.97232,-26.119469,-36.01952,-29.958307,-17.77099,-4.978269,-10.3112,30.395252,13.734957,14.640072,13.1808605,12.674826,11.364941,7.593326,7.200456,9.226099,11.519747,13.214369,21.084589,24.330563,797.4465120357764,582.504326306352,1.5310934855793092,0.0006846572505310178,0.0018455793615430593,6.5306620597839355,1548.2560100760093,1723.177533529806,1.6971059924278158,41.82777413660748,23.556012155624398,35.60135841161011,39.26707766632165,30.631916759790006,26.580225227419763,35.78451638328884,4.992651262279317,3.74729066262465,4.48652851414551,5.212561712231598,7.4316496835479855,5.772303463518107,3.6720381954824837,0.03719994530850792,0.01104575152544271,1.0919818208098437,161.4990234375,0
0,stopElecD,0.2566680453050489,0.2572306250953473,0.3458641197765633,0.3197155013913734,0.1893883992380455,0.22480123820464082,0.19044473535132694,0.19075796476854912,0.24568487222344093,0.3396700837480032,0.4154214748344884,0.3464633692065473,0.03202204577218012,0.033758412675050475,0.06314913961775466,0.024724462212707663,0.03749493705755113,0.04120169831945802,0.02636319756299874,0.036032286205278055,0.06083300378945247,0.0225488370708092,0.035262498610325974,0.037287811030170016,-966.3604,115.31331,53.94728,-32.168827,-14.228306,-4.906107,-2.6956797,-1.4257286,-13.120644,-6.8486233,-11.182492,-15.052303,-24.210964,21.012844,15.788426,14.32871,19.12001,7.9685683,4.5386953,8.2179985,4.1978297,4.3647575,4.6294084,4.711505,4.676509,4.47842,2195.9989594998356,1004.2383353741988,0.5374445080461062,0.009393290616571903,0.007434704340994358,0.49603286385536194,5195.53125,2625.6208698126716,-0.7460689529274477,37.817257806014524,13.680800044643378,17.704222148477655,20.252922787534086,19.426333553928657,19.477859353510375,30.653252560277306,6.873960967246782,4.3538328844399405,7.867923638081033,5.203123774247281,3.8298726152554936,4.680789299240622,2.561614981851058,0.066943359375,0.015283515122614099,-0.6995557804842,151.99908088235293,0
0,human_rights,0.24612660280662318,0.2256187297358254,0.21082405660320816,0.22093789645692102,0.2557571689839348,0.27370790397647105,0.27785788520702803,0.2974580292347758,0.2955697489241643,0.26726456708254315,0.2490619223472742,0.2505731079606489,0.1400958060623176,0.1455985799280767,0.12601968946140252,0.1211465617449943,0.1288883341240444,0.12568321658705298,0.12251217694921093,0.13474302468414942,0.14054145391620076,0.1256057887503814,0.12644276501605173,0.13099564369321334,-351.09146,111.3031,-32.169823,9.545046,-19.172144,-29.717075,-28.990515,-12.061951,-12.142915,-3.722031,-5.0269465,-5.102262,-10.910285,118.82508,30.25258,55.267765,27.476398,21.264803,20.893002,14.607589,14.420272,12.563544,10.978658,9.814892,9.220554,9.009358,1817.6624235560632,1021.5472833472703,2.3546531981991428,0.004932641517370939,0.033641036599874496,27.41973114013672,3077.859128317919,1668.9654445959259,1.4578688940984732,21.38876302569081,19.904527356481346,23.286170384884613,22.06921351169818,21.97160851841623,25.60261611151108,43.8076304187163,7.2145024883908215,6.9277446483954614,7.939222640767259,8.21720508761294,5.846367759301439,7.8018069720388645,10.311291381892808,0.08608438972114245,0.04465484607544444,0.5826870746268257,123.046875,0
0,closeElecD,0.2696159840016707,0.21756403210667505,0.24763079643075825,0.2500999743990397,0.20749117505139028,0.19300220140514251,0.2193165656073635,0.28021180649946925,0.33206762976556037,0.36105074932362685,0.37471573856323775,0.36053154985932495,0.037562343610374076,0.05987133876585987,0.05961114732749015,0.058618571622027264,0.03113515419938952,0.026762898131107413,0.059444377314896095,0.07261082963477535,0.052628023870704914,0.04286937675208969,0.0729503791361305,0.07585391992646465,-869.9002,78.36729,33.742672,-1.942587,-14.388952,-10.622236,-5.088257,-7.073881,-13.49264,-15.799605,-13.838744,-13.562045,-14.255799,26.281729,26.4679,8.468871,5.747326,6.1169124,7.208404,10.2803,17.187975,22.111076,15.491252,4.26675,8.395478,5.8953953,2075.396416470753,959.2292781658701,2.079685428399179,0.01109252218157053,0.00823669508099556,0.5342143177986145,5728.822063577586,2747.904577029677,-0.8781390271994076,36.87569637352745,14.436615298574019,18.92100159972192,20.260733317985338,22.169345856956802,17.81338627494224,30.88559228844832,6.234931106275354,5.036125515871792,8.62885780055791,4.9498908203419605,7.9842756623334195,4.425115851893335,2.180227288881968,0.06565418462643678,0.018811059180807194,0.40505592299584464,0.0,0
0,hello_google_ElecD,0.21773582025774135,0.2744795621021493,0.3871313704899242,0.3608515680179081,0.27701692187209864,0.22529561120785815,0.1959715269205565,0.20503509367594958,0.23343838482602805,0.25426609223725005,0.27547244847658253,0.2671781596739451,0.07583349904016008,0.03126925499084477,0.06797065344711199,0.11661326183134232,0.16702078049813698,0.07940649879088926,0.06913157796305319,0.09403233131564309,0.1031832496900276,0.11303307411345974,0.12304475219129676,0.10714403389344336,-866.49066,88.85205,32.27333,2.788062,-16.182224,-16.347261,1.9814973,-1.504655,-19.303698,-19.572964,-16.485052,-19.938545,-17.629501,42.60684,29.068398,8.774674,6.342146,8.488958,14.082707,6.9337564,8.290807,25.459124,16.48117,7.31522,7.7640443,5.5695925,2006.3894045577006,968.077210676583,1.3409613418418032,0.014748369343578815,0.04588649421930313,6.0785627365112305,5205.1510833030525,2937.647226239654,-0.4350796298306489,35.157187599752525,18.265579562396624,19.0120981907518,21.235114246394918,23.06246625338203,23.346803769340614,30.63577628222661,6.801109365356497,7.385230394374654,6.632949141484577,5.116446018320073,7.368641558960771,10.234401425433092,2.2503889536316106,0.05618073219476744,0.01815249505103853,-0.09835006064139197,117.45383522727273,0
0,openElecD,0.360553060105028,0.3337639785330071,0.31070069907830944,0.27245926661310843,0.2341340026354467,0.21501507863057218,0.2777496697766987,0.2891392879545914,0.24304812036119364,0.1987964361879137,0.2781815866402861,0.3542669625895387,0.0541008628500643,0.026364281865794485,0.024976180023500504,0.01986164839316697,0.036656498950178806,0.05573877826457225,0.06914707552012983,0.06353201563208818,0.03750709262987996,0.04467748380523395,0.025799678896218717,0.050775087090919206,-944.3534,122.308136,48.105797,-17.095257,-8.597642,-16.921993,-8.499189,-12.981966,-25.068102,-19.873945,-16.960762,-16.085955,-29.103285,23.300535,16.116404,6.190847,11.433917,12.678157,13.804188,15.597763,9.897681,17.669098,19.102455,4.204192,5.2528625,6.143924,1868.9025792405182,750.4178597501505,-0.37434189523801686,0.008333371952176094,0.007649016100913286,0.154763862490654,5083.699387770433,3068.428208404021,-0.3371158466677707,37.49828559131001,15.172959951551373,21.253977202829052,19.63658932645387,22.420660922100275,16.85306310721864,30.849229199412246,6.804645133430321,5.379779916242674,10.068366907401616,3.762300106665491,6.063745594344554,1.9694633191175883,2.5845905056586598,0.06061260516826923,0.019135687137812798,0.4369679754125802,117.45383522727273,0
0,close_test,0.3374298640453977,0.25749511864195024,0.27482492169979245,0.35734332990812573,0.2849309202797279,0.24430072063827932,0.1726837988259098,0.2387073550841659,0.2575675507009971,0.23250463493128518,0.2494233114076607,0.351546589989273,0.06611021738384737,0.0868874867964086,0.03539136229921661,0.023399296280121076,0.09225898209083695,0.10088093498734614,0.03268179970272598,0.10318285462535863,0.13772719409488499,0.11296572637944331,0.010300504059863208,0.08239452062415492,-739.1152,31.203428,19.753141,31.487835,5.630784,-7.3974147,2.517334,-12.68348,-17.850239,-6.758837,-9.876969,-6.5869913,-0.5432508,46.302914,38.895576,23.449364,32.741474,9.228014,11.728265,12.323178,18.335258,22.052011,14.915084,11.980741,7.506707,7.5061426,2860.744488901925,1257.765989134658,0.0639219549393631,0.022535035386681557,0.042355120182037354,4.054516792297363,5998.038999495968,2811.4976459121945,-0.5660059911879748,37.88158073677786,17.406667614066937,22.920023210090786,18.58528035988532,25.89278693693513,32.22452858487761,31.82480588382914,7.775046104099972,8.522648291412185,12.288194279346223,6.385360318728505,10.035395848751874,15.664185910139176,3.4953463197202206,0.1218655493951613,0.08604847064940996,1.2365363527570747,0.0,1
0,open_test,0.2842734979527715,0.3766060610793495,0.4141467473257459,0.34197925138138596,0.28804769648559186,0.23204314300557652,0.17901656048871734,0.16503785111296787,0.2240809418164672,0.22607741402085127,0.25349071607365475,0.27482258642038265,0.08595942790184907,0.02349541904061626,0.07612556372222325,0.07113249000831232,0.06382261885668436,0.04408751465160214,0.040643500238456975,0.08210169703952373,0.09452911303754048,0.04978839425037194,0.027199122458493805,0.07950407632269785,-812.79065,64.31603,33.789288,45.345837,23.186085,-12.25682,-9.981344,-6.530364,-18.438534,-20.033913,-13.045262,-11.42182,-12.028215,57.782772,36.16711,15.998699,40.709324,25.981062,19.108727,13.554785,7.855468,21.705896,23.636738,13.0080595,6.5068703,5.256018,1977.5271038928538,955.422691895893,0.005709142410577633,0.011938882060348988,0.01292143389582634,1.0341451168060303,5311.64110527664,3160.5659572429954,-0.30568596059881964,38.229825798754206,15.986100845719127,24.076335423212267,18.572254758122853,25.70405853009528,24.225348976733763,30.49037373199905,6.906909249854075,6.534954277364959,12.34466924745393,5.521381300782354,10.64781410056621,12.019819289393565,2.971673099556595,0.056368468237704916,0.024597404018646008,0.08160074331627898,0.0,1
0,alexa_test,0.3564638208049144,0.34893779885153287,0.3300568632630435,0.20484014091154593,0.17094187720606735,0.14019968318600415,0.16338110458551788,0.24766889630419536,0.28757840860654366,0.33528428067286187,0.32648642123589056,0.3297861855201533,0.07448002516491521,0.06914498813974199,0.04893745702839386,0.08055995942240213,0.08032991789172993,0.08142287115028612,0.05628241363163115,0.03208046747346375,0.05233646384174028,0.09197745992803431,0.05922810837153833,0.041230284835156776,-864.5937,77.98477,14.778688,30.143417,3.9446018,-5.1976123,-6.0339828,-28.408066,-13.011532,-2.6872873,-14.036668,-17.267,-14.225315,67.95428,26.864143,26.322338,31.231482,16.53903,7.6805425,7.434685,33.77882,15.258113,7.9536304,11.721052,9.102204,5.4860034,2529.744394896815,1233.1425633867948,0.24768928514768576,0.019830526784062386,0.03143966943025589,3.691884756088257,5824.7314453125,3085.9588536896827,-0.5151472915706886,36.306789563498164,15.939940846251075,22.190892895730407,20.848772123143636,24.394393541259312,28.743382824826046,31.048181798715447,6.903698706977786,6.91101617412547,10.96133142682136,7.259165417083074,7.72833645691732,14.03037542798097,2.352722016259213,0.10707428495762712,0.04116599642026988,0.7225989225182614,117.45383522727273,1
