Genre,Show,Title,Description,link,start,end,class,split_length,Comments,length
News,Last Week Tonight with John Oliver,Coronavirus VIII: Prisons & Jails (HBO),Oliver talking to camera about COVID-19,https://youtu.be/MuxnH0VAkAM,0:00,1:44,organic,5,,1:44
,,,CBS news feed on COVID-19 replay,,1:45,2:09,electronic,5,,0:24
,,,Oliver talking to camera about prison congestion,,2:13,3:04,organic,5,,0:51
,,,CBS 2018 on small prison cells replay,,3:05,3:20,electronic,5,,0:15
,,,Oliver talking to camera about difficulty in social distancing,,3:21,3:50,organic,5,,0:29
,,,WBALTV news on COVID-19 impact,,3:51,4:09,electronic,5,,0:18
,,,Oliver talking to camera about difficulty in social distancing,,4:11,5:00,organic,5,,0:49
,,,Mixed news feeds on soap shortage,,5:01,5:26,electronic,5,,0:25
News,Last Week Tonight with John Oliver,Push Notifications (Web Exclusive),Oliver talking to camera with audience laughs,https://youtu.be/kxatzHnl7Q8,0:01,5:00,organic,5,,4:59
News,Last Week Tonight with John Oliver,Brazilian Elections (HBO),Oliver talking about Brazilian events,https://youtu.be/FsZ3p9gOkpY,0:05,0:22,organic,5,,0:17
,,,Old British news footage on Carnival,,0:23,0:31,electronic,5,,0:08
,,,Oliver responding to previous news footage,,0:32,0:50,organic,5,,0:18
,,,Old American news footage on Carnival,,0:51,0:57,electronic,5,,0:06
,,,Oliver responding to previous news footage,,0:58,1:10,organic,5,,0:12
,,,Oliver talks about importance of Brazilian elections,,1:12,1:46,electronic,5,,0:34
,,,Oliver talks about issues with elections,,2:07,2:58,organic,5,,0:51
,,,Vice interview clip on homicide rates,,2:59,3:07,electronic,5,,0:08
,,,Oliver on Operation Car Wash,,3:07,4:21,organic,5,,1:14
,,,CBS news interview on Operation Car Wash,,4:22,4:39,electronic,5,,0:17
,,,Oliver talking about citizen disillusionment,,4:40,5:05,organic,5,,0:25
News,Last Week Tonight with John Oliver,Equal Rights Amendment (HBO),Oliver talking about equal rights among gender,https://youtu.be/bCBYJZ6QbUI,0:05,0:24,organic,5,,0:19
,,,Inside Edition on upside down McDonalds logo,,0:25,0:33,electronic,5,,0:08
,,,Oliver responding to news clip,,0:34,1:30,organic,5,,0:56
,,,NBC 1982 news cast on the Equal Rights Amendment,,1:31,1:47,electronic,5,,0:16
,,,Oliver talking about equal rights in constitution,,1:48,2:31,organic,5,,0:43
,,,NBC 1972 news clip on the unisex amendment,,2:31,2:51,electronic,5,,0:20
,,,Oliver talking about ratification process,,2:52,3:31,organic,5,,0:39
,,,WTSP 2018 news cast on Florida holding out on amendment,,3:31,3:37,electronic,5,,0:06
,,,Oliver talking about passing the ERA,,3:39,4:27,organic,5,,0:48
,,,CBS 1973 news cast on ERA,,4:27,4:35,electronic,5,,0:08
,,,Oliver talking about opposition to ERA,,4:36,6:11,organic,5,,1:35
,,,Today NBC 1972 ERA opposition interview,,6:12,6:33,electronic,5,,0:21
,,,Oliver talking about misconceptions of ERA,,6:34,7:05,organic,5,,0:31
,,,WLIW21 news clip on ERA opposition speech,,7:06,7:16,electronic,5,,0:10
,,,Oliver talking about Schlafly on ERA,,7:17,8:14,organic,5,,0:57
,,,WLIW21 1971 Republican conference on abortion,,8:14,8:28,electronic,5,,0:14
News,Last Week Tonight with John Oliver,Weather (HBO),Oliver introducing topic of weather,https://youtu.be/qMGn9T37eR8,0:05,0:23,organic,5,,0:18
,,,FOX17 2018 clip of weather forecast,,0:24,0:52,electronic,5,,0:28
,,,Oliver on news delivery,,0:53,2:25,organic,5,,1:32
,,,News cast interview about weather data services,,2:25,2:41,electronic,5,,0:16
,,,Oliver on weather data sharing,,2:42,3:56,organic,5,,1:14
,,,Accuweather commerical 1988,,3:57,4:29,electronic,5,,0:32
,,,Oliver on weather graphics and competition,,4:30,4:56,organic,5,,0:26
,,,The Weather Channel example forecast with graphics,,4:57,5:08,electronic,5,Speech isn't primary here,0:11
,,,Oliver on data collection systems,,5:09,5:43,organic,5,,0:34
,,,CNBC 2018 interview with CEO of Accuweather,,5:44,6:01,electronic,5,,0:17
News,Last Week Tonight with John Oliver,,Oliver on the importance of court system,https://youtu.be/9fB0GBwJ2QA,0:01,0:21,organic,5,,0:20
,,,Previews of court TV show case,,0:22,0:52,electronic,5,Several clips being cut and compiled,0:30
,,,Oliver on the importance of immigration courts,,0:53,1:47,organic,5,,0:54
,,,Interview of student on deportation,,1:47,1:55,electronic,5,,0:08
,,,Oliver talks about immigration as a life and death process,,1:56,2:25,organic,5,,0:29
,,,NBC 2017 interview with immigration court judges,,2:26,2:39,electronic,5,,0:13
,,,Oliver on the backlog of immigration cases,,2:40,3:11,organic,5,,0:31
,,,NBC6 2017 news cast on backlog in the courts,,3:12,3:34,electronic,5,,0:22
,,,Oliver on issues of hearing wait time ,,3:35,4:36,organic,5,,1:01
,,,PBS 13 2015 documentary clip on immigration court system,,4:37,4:45,electronic,5,,0:08
,,,Oliver on the issue of legal representation,,4:46,5:13,organic,5,,0:27
,,,KIRO7 2016 news cast on undocumented children,,5:13,5:30,electronic,5,,0:17
,,,Oliver on sending children to court without representation,,5:31,6:11,organic,5,,0:40
,,,2015 voice recording of an immigration judge,,6:12,6:26,electronic,5,,0:14
,,,Oliver responding to opposition for mandating lawyers for children,,6:27,6:53,organic,5,,0:26
,,,2016 child interviews in mock trial,,6:53,7:29,electronic,5,,0:36
,,,2016 child interviews in mock trial,,7:53,8:09,electronic,5,Mostly silence,0:16
,,,Oliver on why children need lawyers,,8:10,8:30,organic,5,,0:20
,,,Reuters 2017 overview of deportation rate,,8:31,8:47,electronic,5,,0:16
,,,Oliver on immigration courts dependent on political changes,,8:48,9:36,organic,5,,0:48
,,,MSNBC 2017 interview on immigration initiatives,,9:37,9:48,electronic,5,,0:11
,,,Oliver on immigration policies promoting domestic violence,,9:49,11:48,organic,5,,1:59
,,,Voice recording of immigration court interview 2013,,11:49,12:23,electronic,5,,0:34
,,,Oliver responding to various court cases,,12:24,13:30,organic,5,,1:06
News,Last Week Tonight with John Oliver,Brexit Update (HBO UK),,https://youtu.be/MdHmp5EX5bE,0:01,6:11,organic,5,,6:10
Documentary,PBS Frontline,Growing Up Poor in America (full film),News clips on poverty and education,https://youtu.be/qAxQltlGodA,0:05,0:15,electronic,5,,0:10
,,,Back and forth dialogue introducing people featured in the documentary,,0:16,2:00,organic,5,,1:44
,,,News clips on poverty and COVID-19,,2:12,2:35,electronic,5,,0:23
,,,Child talking about COVID-19 while disinfecting home trailer,,2:40,3:30,organic,5,,0:50
,,,Child talking about living situation in a trailer,,3:36,3:48,organic,5,,0:12
,,,Mother explaining living situation in a trailer,,4:04,4:26,organic,5,,0:22
,,,"Child talking about how money is allocated for food, clothes, and school",,4:35,4:49,organic,5,,0:14
,,,Describing working situation and salary,,4:56,5:06,organic,5,,0:10
,,,Answering telephone at work,,5:12,5:15,organic,5,,0:03
,,,Describing working situation and salary,,5:17,5:45,organic,5,,0:28
,,,Curbside delivery conversation,,6:13,6:46,organic,5,,0:33
,,,Describing the impact of COVID-19 on welfare assistance,,6:48,7:21,organic,5,,0:33
,,,Ohio news broadcast on state of COVID-19,,7:23,7:59,electronic,5,,0:36
,,,Introducing another child featured throughout the documentary,,8:18,8:23,organic,5,,0:05
,,,Talking about living situation in an one-room apartment,,8:29,9:08,organic,5,,0:39
,,,Describing frequently moving and lost of clothes in storage,,9:11,11:14,organic,5,,2:03
,,,Describing how to make up a bed on the floor,,11:27,11:57,organic,5,,0:30
,,,Curbside pickup conversation,,12:06,13:20,organic,5,,1:14
,,,Child describing how poverty and COVID-19 impacts her mother,,13:22,13:52,organic,5,,0:30
,,,Child talking about depression,,14:16,14:31,organic,5,,0:15
,,,News clips on food and COVID-19,,14:49,15:04,electronic,5,,0:15
,,,Introducing another child featured throughout the documentary,,15:12,15:39,organic,5,,0:27
,,,Grandmother talking about washing dishes with grandchild,,15:50,16:30,organic,5,,0:40
,,,Child talking about daily routine,,16:40,16:55,organic,5,,0:15
,,,Child talking about ADHD diagnosis and impact on her routine,,17:17,17:52,organic,5,,0:35
,,,Child talking about food stamps,,17:55,18:14,organic,5,,0:19
,,,Child talking about mother's salary,,18:16,18:43,organic,5,,0:27
,,,Talking about returning to school,,18:47,21:25,organic,5,,2:38
,,,Talking about broken car,,21:50,22:30,organic,5,,0:40
,,,Curbside pickup conversation -- laptops for new school year,,22:40,0:20,organic,5,,1:40
Sports,Premier League (NBCSports),Aston Villa v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 6/21/2020 | NBC Sports,AVLvCHE_6212020,https://www.youtube.com/watch?v=aHh9t6ZsXDY,0:05,5:05,electronic,5,,5:00
Sports,Premier League (NBCSports),Tottenham v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 6/19/2020 | NBC Sports,TOTvMU_6192020,https://www.youtube.com/watch?v=04WltVKrWJI,0:05,5:05,electronic,5,,5:00
Sports,Premier League (NBCSports),Manchester City v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 6/17/2020 | NBC Sports,McvARS_6172020,https://www.youtube.com/watch?v=rQ016rXVXus,0:05,5:05,electronic,5,,5:00
Sports,FIBA basketball,Brazil v Greece - Highlights - FIBA Basketball World Cup 2019,BRAvGRE_09032019,https://www.youtube.com/watch?v=R1Dy3gONfYY,0:00,3:35,electronic,5,,3:35
Comedies,Friends,Friends: Top 20 Funniest Moments | TBS,FRIENDS,https://www.youtube.com/watch?v=xHcPhdZBngw,0:00,20:00,electronic,5,,20:00
