,Feature,Pearson,Chi-2,RFE,Logistics,Random Forest,LightGBM,Count
1,lowlevel_spectral_spread_median,False,True,True,True,False,False,3
2,lowlevel_erbbands_spread_mean,True,True,False,False,True,False,3
3,band_zrate_std,True,True,False,False,True,False,3
4,metadata_audio_properties_bit_rate,False,False,True,True,False,False,2
5,lowlevel_melbands_skewness_median,False,True,False,False,True,False,2
6,lowlevel_erbbands_spread_var,True,True,False,False,False,False,2
7,lowlevel_erbbands_spread_median,True,True,False,False,False,False,2
8,lowlevel_erbbands_flatness_db_stdev,True,False,False,False,True,False,2
9,contrast_3_mean,True,True,False,False,False,False,2
10,band_lowlevel_spectral_spread_median,False,False,True,True,False,False,2
11,band_lowlevel_spectral_spread_dmean2,False,False,True,True,False,False,2
12,band_lowlevel_erbbands_spread_var,True,True,False,False,False,False,2
13,lowlevel_spectral_spread_var,False,False,True,False,False,False,1
14,lowlevel_spectral_spread_stdev,False,False,False,True,False,False,1
15,lowlevel_spectral_spread_dvar2,False,False,True,False,False,False,1
16,lowlevel_spectral_spread_dvar,False,False,True,False,False,False,1
17,lowlevel_spectral_rolloff_var,False,False,False,True,False,False,1
18,lowlevel_spectral_rolloff_dvar2,False,False,False,True,False,False,1
19,lowlevel_erbbands_spread_kurt,False,False,False,False,True,False,1
20,lowlevel_erbbands_spread_dmean,False,False,False,False,True,False,1
21,lowlevel_erbbands_kurtosis_median,False,False,False,False,True,False,1
22,lowlevel_erbbands_flatness_db_var,True,False,False,False,False,False,1
23,lowlevel_barkbands_spread_dvar,False,False,False,False,True,False,1
24,lowlevel_barkbands_spread_dmean2,False,False,False,False,True,False,1
25,flat_mean,False,True,False,False,False,False,1
26,contrast_5_std,True,False,False,False,False,False,1
27,chroma_4_std,False,False,False,False,False,True,1
28,chroma_4_mean,False,False,False,False,False,True,1
29,chroma_3_std,False,False,False,False,False,True,1
30,chroma_3_mean,False,False,False,False,False,True,1
31,chroma_2_std,False,False,False,False,False,True,1
32,chroma_2_mean,False,False,False,False,False,True,1
33,chroma_1_std,False,False,False,False,False,True,1
34,chroma_1_mean,False,False,False,False,False,True,1
35,chroma_0_std,False,False,False,False,False,True,1
36,chroma_0_mean,False,False,False,False,False,True,1
37,band_lowlevel_zerocrossingrate_var,False,True,False,False,False,False,1
38,band_lowlevel_spectral_spread_var,False,False,True,False,False,False,1
39,band_lowlevel_spectral_spread_stdev,False,False,False,True,False,False,1
40,band_lowlevel_spectral_spread_mean,False,False,False,True,False,False,1
41,band_lowlevel_spectral_spread_dvar2,False,False,True,False,False,False,1
42,band_lowlevel_spectral_spread_dvar,False,False,True,False,False,False,1
43,band_lowlevel_spectral_spread_dmean,False,False,False,True,False,False,1
44,band_lowlevel_erbbands_spread_stdev,True,False,False,False,False,False,1
45,band_chroma_4_mean,False,False,False,False,True,False,1
46,zrate_std,False,False,False,False,False,False,0
47,zrate_skew,False,False,False,False,False,False,0
48,zrate_mean,False,False,False,False,False,False,0
49,tonal_tuning_nontempered_energy_ratio,False,False,False,False,False,False,0
50,tonal_tuning_frequency,False,False,False,False,False,False,0
51,tonal_tuning_equal_tempered_deviation,False,False,False,False,False,False,0
52,tonal_tuning_diatonic_strength,False,False,False,False,False,False,0
53,tonal_key_temperley_strength,False,False,False,False,False,False,0
54,tonal_key_krumhansl_strength,False,False,False,False,False,False,0
55,tonal_key_edma_strength,False,False,False,False,False,False,0
56,tonal_hpcp_entropy_var,False,False,False,False,False,False,0
57,tonal_hpcp_entropy_stdev,False,False,False,False,False,False,0
58,tonal_hpcp_entropy_skew,False,False,False,False,False,False,0
59,tonal_hpcp_entropy_median,False,False,False,False,False,False,0
60,tonal_hpcp_entropy_mean,False,False,False,False,False,False,0
61,tonal_hpcp_entropy_kurt,False,False,False,False,False,False,0
62,tonal_hpcp_entropy_dvar2,False,False,False,False,False,False,0
63,tonal_hpcp_entropy_dvar,False,False,False,False,False,False,0
64,tonal_hpcp_entropy_dmean2,False,False,False,False,False,False,0
65,tonal_hpcp_entropy_dmean,False,False,False,False,False,False,0
66,tonal_hpcp_crest_var,False,False,False,False,False,False,0
67,tonal_hpcp_crest_stdev,False,False,False,False,False,False,0
68,tonal_hpcp_crest_skew,False,False,False,False,False,False,0
69,tonal_hpcp_crest_median,False,False,False,False,False,False,0
70,tonal_hpcp_crest_mean,False,False,False,False,False,False,0
71,tonal_hpcp_crest_kurt,False,False,False,False,False,False,0
72,tonal_hpcp_crest_dvar2,False,False,False,False,False,False,0
73,tonal_hpcp_crest_dvar,False,False,False,False,False,False,0
74,tonal_hpcp_crest_dmean2,False,False,False,False,False,False,0
75,tonal_hpcp_crest_dmean,False,False,False,False,False,False,0
76,tonal_chords_strength_var,False,False,False,False,False,False,0
77,tonal_chords_strength_stdev,False,False,False,False,False,False,0
78,tonal_chords_strength_skew,False,False,False,False,False,False,0
79,tonal_chords_strength_median,False,False,False,False,False,False,0
80,tonal_chords_strength_mean,False,False,False,False,False,False,0
81,tonal_chords_strength_kurt,False,False,False,False,False,False,0
82,tonal_chords_strength_dvar2,False,False,False,False,False,False,0
83,tonal_chords_strength_dvar,False,False,False,False,False,False,0
84,tonal_chords_strength_dmean2,False,False,False,False,False,False,0
85,tonal_chords_strength_dmean,False,False,False,False,False,False,0
86,tonal_chords_number_rate,False,False,False,False,False,False,0
87,tonal_chords_changes_rate,False,False,False,False,False,False,0
88,tempo,False,False,False,False,False,False,0
89,rolloff_std,False,False,False,False,False,False,0
