,classifier,score,accuracy,recall,specificity,precision,FPR,FNR,CV-10 mean,CV-10 std,No Skill ROC AUC,Logistic ROC AUC,Precision-Recall AUC,F1
0,Nearest Neighbors,0.9047619047619048,0.9047619047619048,0.8,1.0,1.0,0.0,0.2,92.5,16.00781059358212,0.5,0.9636363636363636,0.9703296703296703,0.888888888888889
1,Linear SVM,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0.5,0.9636363636363636,0.9703296703296703,1.0
2,RBF SVM,0.47619047619047616,0.47619047619047616,1.0,0.0,0.47619047619047616,1.0,0.0,0.0,0.0,0.5,0.9636363636363636,0.9703296703296703,0.6451612903225806
3,Gaussian Process,0.7619047619047619,0.7619047619047619,0.5,1.0,1.0,0.0,0.5,87.5,20.155644370746376,0.5,0.9636363636363636,0.9703296703296703,0.6666666666666666
4,Decision Tree,0.8095238095238095,0.8095238095238095,0.7,0.9090909090909091,0.875,0.09090909090909091,0.3,90.99999999999999,14.2828568570857,0.5,0.9636363636363636,0.9703296703296703,0.7777777777777777
5,Random Forest,1.0,1.0,1.0,1.0,1.0,0.0,0.0,97.5,7.5,0.5,0.9636363636363636,0.9703296703296703,1.0
6,Neural Net,0.8571428571428571,0.8571428571428571,0.7,1.0,1.0,0.0,0.3,100.0,0.0,0.5,0.9636363636363636,0.9703296703296703,0.8235294117647058
7,AdaBoost,0.9523809523809523,0.9523809523809523,1.0,0.9090909090909091,0.9090909090909091,0.09090909090909091,0.0,88.5,18.44586674569672,0.5,0.9636363636363636,0.9703296703296703,0.9523809523809523
8,Naive Bayes,0.8571428571428571,0.8571428571428571,0.8,0.9090909090909091,0.8888888888888888,0.09090909090909091,0.2,88.00000000000001,16.462077633154326,0.5,0.9636363636363636,0.9703296703296703,0.8421052631578948
9,QDA,0.42857142857142855,0.42857142857142855,0.5,0.36363636363636365,0.4166666666666667,0.6363636363636364,0.5,48.5,26.367593746870416,0.5,0.9636363636363636,0.9703296703296703,0.45454545454545453
