,classifier,score,accuracy,recall,specificity,precision,FPR,FNR,CV-10 mean,CV-10 std,No Skill ROC AUC,Logistic ROC AUC,Precision-Recall AUC,F1
0,Nearest Neighbors,1.0,1.0,1.0,1.0,1.0,0.0,0.0,95.0,15.0,0.5,0.9333333333333333,0.9553571428571429,1.0
1,Linear SVM,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0.5,0.9333333333333333,0.9553571428571429,1.0
2,RBF SVM,0.5454545454545454,0.5454545454545454,1.0,0.0,0.5454545454545454,1.0,0.0,5.0,15.000000000000002,0.5,0.9333333333333333,0.9553571428571429,0.7058823529411764
3,Gaussian Process,1.0,1.0,1.0,1.0,1.0,0.0,0.0,95.0,15.0,0.5,0.9333333333333333,0.9553571428571429,1.0
4,Decision Tree,0.2727272727272727,0.2727272727272727,0.5,0.0,0.375,1.0,0.5,90.0,20.0,0.5,0.9333333333333333,0.9553571428571429,0.42857142857142855
5,Random Forest,0.45454545454545453,0.45454545454545453,0.6666666666666666,0.2,0.5,0.8,0.3333333333333333,85.0,22.9128784747792,0.5,0.9333333333333333,0.9553571428571429,0.5714285714285715
6,Neural Net,0.9090909090909091,0.9090909090909091,1.0,0.8,0.8571428571428571,0.2,0.0,95.0,15.0,0.5,0.9333333333333333,0.9553571428571429,0.923076923076923
7,AdaBoost,0.8181818181818182,0.8181818181818182,1.0,0.6,0.75,0.4,0.0,86.66666666666666,20.816659994661325,0.5,0.9333333333333333,0.9553571428571429,0.8571428571428571
8,Naive Bayes,0.7272727272727273,0.7272727272727273,1.0,0.4,0.6666666666666666,0.6,0.0,86.66666666666666,20.816659994661325,0.5,0.9333333333333333,0.9553571428571429,0.8
9,QDA,0.5454545454545454,0.5454545454545454,1.0,0.0,0.5454545454545454,1.0,0.0,70.0,33.166247903554,0.5,0.9333333333333333,0.9553571428571429,0.7058823529411764
